alert_id,duration,src_bytes,dst_bytes,pkt_count,src_ttl,dst_ttl,src_load,dst_load,state_ttl_count,label,src_ip,dst_ip
UNSW-000000,0.001055,132,164,4,31,29,500473.9375,621800.9375,0,0,59.166.0.0,149.171.126.6
UNSW-000001,0.036133,528,304,8,31,29,87676.08594,50480.17188,0,0,59.166.0.0,149.171.126.9
UNSW-000002,0.001119,146,178,4,31,29,521894.5313,636282.375,0,0,59.166.0.6,149.171.126.7
UNSW-000003,0.001209,132,164,4,31,29,436724.5625,542597.1875,0,0,59.166.0.5,149.171.126.5
UNSW-000004,0.001169,146,178,4,31,29,499572.25,609067.5625,0,0,59.166.0.3,149.171.126.0
UNSW-000005,0.078339,568,312,8,31,29,43503.23438,23896.14258,0,0,59.166.0.0,149.171.126.9
UNSW-000006,0.001134,132,164,4,31,29,465608.4688,578483.25,0,0,59.166.0.6,149.171.126.4
UNSW-000007,0.0,46,0,1,0,0,0.0,0.0,2,0,10.40.182.3,10.40.182.3
UNSW-000008,0.001126,146,178,4,31,29,518650.0938,632326.8125,0,0,59.166.0.5,149.171.126.6
UNSW-000009,0.001167,132,164,4,31,29,452442.1563,562125.0625,0,0,59.166.0.7,149.171.126.4
UNSW-000010,0.0,46,0,1,0,0,0.0,0.0,2,0,10.40.170.2,10.40.170.2
UNSW-000011,0.0,46,0,1,0,0,0.0,0.0,2,0,10.40.170.2,10.40.170.2
UNSW-000012,0.0,46,0,1,0,0,0.0,0.0,2,0,10.40.182.3,10.40.182.3
UNSW-000013,0.001093,132,164,4,31,29,483074.0938,600182.9375,0,0,59.166.0.1,149.171.126.5
UNSW-000014,0.001851,528,304,8,31,29,1711507.25,985413.3125,0,0,59.166.0.1,149.171.126.9
UNSW-000015,0.001749,528,304,8,31,29,1811320.75,1042881.625,0,0,59.166.0.1,149.171.126.6
UNSW-000016,0.001128,132,164,4,31,29,468085.125,581560.3125,0,0,59.166.0.2,149.171.126.4
UNSW-000017,0.005153,568,312,8,31,29,661362.3125,363283.5313,0,0,59.166.0.1,149.171.126.9
UNSW-000018,0.004898,568,312,8,31,29,695794.1875,382196.8125,0,0,59.166.0.1,149.171.126.6
UNSW-000019,0.001111,132,164,4,31,29,475247.5313,590459.0625,0,0,59.166.0.4,149.171.126.5
UNSW-000020,2.1e-05,728,0,2,254,0,138666672.0,0.0,2,1,175.45.176.3,149.171.126.18
UNSW-000021,0.240139,918,25552,36,62,252,28050.42188,815794.1875,1,1,175.45.176.2,149.171.126.16
