alert_id,timestamp,src_ip,dst_ip,proto,duration,src_bytes,dst_bytes,pkt_count,failed_logins,label,anomaly_score,stage1_decision,final_decision,rationale,recommended_action,source
ALRT-00000,2026-01-01T00:00:00,10.0.118.1,192.168.1.75,tcp,1.77,902,3027,47,0,0,0.026929591486759403,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00001,2026-01-01T00:01:00,10.0.58.15,192.168.1.165,tcp,2.28,1177,3070,61,0,0,0.07524810451787728,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00002,2026-01-01T00:02:00,10.0.127.93,192.168.1.194,tcp,1.06,1682,4829,44,0,0,0.1614933130924017,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00003,2026-01-01T00:03:00,10.0.33.174,192.168.1.101,tcp,0.59,1047,4483,69,0,0,0.23645407760751794,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00004,2026-01-01T00:04:00,10.0.45.87,192.168.1.163,tcp,0.87,1974,2417,40,0,0,0.08304145593825768,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00005,2026-01-01T00:05:00,10.0.251.17,192.168.1.2,tcp,0.19,1273,1572,50,0,0,0.11745322555706895,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00006,2026-01-01T00:06:00,10.0.63.81,192.168.1.74,tcp,1.05,1912,2727,49,0,0,0.09527412217522736,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00007,2026-01-01T00:07:00,10.0.129.62,192.168.1.242,tcp,1.12,251,2082,44,0,0,0.1313685626504814,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00008,2026-01-01T00:08:00,10.0.247.2,192.168.1.146,tcp,2.59,1631,3470,41,0,0,0.04939049642585817,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00009,2026-01-01T00:09:00,10.0.241.136,192.168.1.220,udp,1.68,1002,4390,49,0,0,0.08399467173766759,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00010,2026-01-01T00:10:00,10.0.9.30,192.168.1.56,tcp,2.91,1360,2790,27,0,0,0.03784266778824254,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00011,2026-01-01T00:11:00,10.0.26.73,192.168.1.74,tcp,4.92,1077,3201,27,0,0,0.11102043573821689,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00012,2026-01-01T00:12:00,10.0.84.163,192.168.1.247,tcp,2.65,1416,3800,20,0,0,0.07700886385285238,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00013,2026-01-01T00:13:00,10.0.79.184,192.168.1.253,icmp,4.05,70259,194,736,12,1,0.7651364027122132,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00014,2026-01-01T00:14:00,10.0.74.67,192.168.1.222,udp,0.04,801,4216,13,0,0,0.20236470689489536,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00015,2026-01-01T00:15:00,10.0.70.84,192.168.1.81,tcp,0.8,1640,5519,38,0,0,0.2637991505782591,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00016,2026-01-01T00:16:00,10.0.213.63,192.168.1.203,tcp,0.9,1220,3500,30,0,0,0.02602139002818901,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00017,2026-01-01T00:17:00,10.0.69.243,192.168.1.117,tcp,0.37,1386,3253,28,0,0,0.04053164908361858,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00018,2026-01-01T00:18:00,10.0.166.49,192.168.1.214,tcp,3.98,1307,1517,44,0,0,0.14117071637051742,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00019,2026-01-01T00:19:00,10.0.221.47,192.168.1.216,udp,2.42,853,2419,30,0,0,0.041895416686808774,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00020,2026-01-01T00:20:00,10.0.41.113,192.168.1.111,tcp,4.09,1527,3525,33,0,0,0.08613738973629005,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00021,2026-01-01T00:21:00,10.0.176.48,192.168.1.78,tcp,0.95,1121,1159,27,0,0,0.17282085445739248,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00022,2026-01-01T00:22:00,10.0.192.40,192.168.1.247,tcp,0.89,1443,1814,26,0,0,0.08541120415098392,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00023,2026-01-01T00:23:00,10.0.199.25,192.168.1.114,udp,2.64,1819,1670,22,0,0,0.15467925624210885,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00024,2026-01-01T00:24:00,10.0.118.162,192.168.1.110,tcp,0.73,995,1975,36,0,0,0.042128087403935435,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00025,2026-01-01T00:25:00,10.0.67.155,192.168.1.169,udp,3.57,1239,2580,25,0,0,0.06307800601553279,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00026,2026-01-01T00:26:00,10.0.175.165,192.168.1.237,tcp,1.27,1321,4440,23,0,0,0.12770912814455668,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00027,2026-01-01T00:27:00,10.0.101.196,192.168.1.34,icmp,1.72,74309,44,772,30,1,0.9013733022513567,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00028,2026-01-01T00:28:00,10.0.186.83,192.168.1.250,tcp,1.81,1096,3809,38,0,0,0.032090992343894995,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00029,2026-01-01T00:29:00,10.0.187.233,192.168.1.107,udp,5.15,1432,2662,38,0,0,0.08901152356025607,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
